paperID,Dimension,Metrics,,,,,,,,,
Pham2016_CyRIS,Scenario,Feature assessement regarding scenario feature, e.g. network discovery, network snifing etc.,,,,,,,,,
Puys2021_HardwareInTheLoop,Learning Experience,interviews after the training (perceived relevance),,,,,,,,,
Puys2021_HardwareInTheLoop,Learning Outcome,Interviews on perceived learning outcome,,,,,,,,,
Raybourn2018_ZeroEntry,Learning Experience,Interviews on perceived adequacy of difficulty for target group,,,,,,,,,
Roberts2021_CybersecurityTestRange,Scenario,implementation and description of scenario as proof of concept,,,,,,,,,
Russo2020_Crack,Environment,reusability of lines of code in percent,,,,,,,,,
Russo2020_Crack,Environment,intialization, verification, testing (duration),,,,,,,,,
Russo2020_Crack,Environment,functional assessment (yes/no) of technical aspects (environment), e.g. scalability, modularity etc.,,,,,,,,,
Shrivastava2022_CyberPhysicalExercises,Environment,outcome of stress test, does the system perform as intended (yes/now), e.g., can attack be successfully executed?,,,,,,,,,
Svabensky2018_SeriousGames,Learning Experience,Scales to rate the quality of the serious games created by the students in the cateogries approriate length, educational value, completeness and overall quality,,,,,,,,,
Svabensky2018_SeriousGames,Learning Outcome,Presentation and project report of the students ,,,,,,,,,
Svabensky2018_SeriousGames,Teaming,students' self report about qualitiy of teamwork,,,,,,,,,
Tang2017_InteractiveCybersecurityDefense,Environment,duration of deployment,,,,,,,,,
Tang2017_InteractiveCybersecurityDefense,Leanring Outcome,self -assessment on learning outcome,,,,,,,,,
Tang2017_InteractiveCybersecurityDefense,Learning Experience,learning experience (clarity, duration etc.),,,,,,,,,
Tian2018_RealTimeCorrelation,Monitoring,effectivity of data correlation technique (duration),,,,,,,,,
Vekaria2021_CyberRangeForResearchInspired,Environment,duration of deployment,,,,,,,,,
Vekaria2021_CyberRangeForResearchInspired,Learning Experience,feedback survey/statements on students' engagement,,,,,,,,,
Vekaria2021_CyberRangeForResearchInspired,Learning Outcome,time to complete certain tasks (control group without cr training),,,,,,,,,
Vekaria2021_CyberRangeForResearchInspired,Learning Outcome,pre/post knowledge assessment,,,,,,,,,
Vielberth2021_DigitalTwinBasedCyberRange,Leanring Outcome,pre/post knowledge assessment,,,,,,,,,
Vielberth2021_DigitalTwinBasedCyberRange,Learning Experience,feedback statements, interviews,,,,,,,,,
Vykopal2017_LessonsLearned,Learning Outcome,description of red team how attacks were conducted,,,,,,,,,
Vykopal2017_LessonsLearned,Learning Outcome,analysis of data regarding non-technical learning objectives (emails about legal, reporting etc.),,,,,,,,,
Vykopal2017_LessonsLearned,Learning Outcome,trainee performance,,,,,,,,,
Vykopal2017_LessonsLearned,Learning Outcome,feedback survey of blue team,,,,,,,,,
Yamin2021_SeriousGames,Learning Experience,Survey, e.g., how realistic was the training?,,,,,,,,,
Yamin2021_SeriousGames,Learning Experience, interviews,,,,,,,,,
Yamin2021_SeriousGames,Learning Outcome,duration,,,,,,,,,
Yamin2022_CyberAttackDefenseAgents,Environment,formal analysis of attack/defense agents,,,,,,,,,
Yamin2022_CyberAttackDefenseAgents,Environment,efficiency evaluation,,,,,,,,,
Yamin2022_CyberAttackDefenseAgents,Learning Experience,"statements for self-assessment regarding perceived realism of the exercise, open ended question",,,,,,,,,
Yamin2022_CyberAttackDefenseAgents,Learning Outcome,knowledge assessment (through open-ended post-exercise questions),,,,,,,,,
Yamin2022_CyberAttackDefenseAgents,Management,comparison of blue team participants performance with the automated defense agent's performance (no of identified compromised machines),,,,,,,,,
Yamin2022_CyberAttackDefenseAgents,Management,performance of defense agent: no of successful attacks by the red team with and without the defense agent running,,,,,,,,,
Yamin2022_Modeling,Environment,Functional description of the factors autonomy, adapatability, efficiency,,,,,,,,,
Yamin2022_Modeling,Learning Outcome,Pre/post test surveys to measure skill improvement (self-assessment of skills),,,,,,,,,
Yamin2022_Modeling,Learning Outcome,Participants' report,,,,,,,,,
Yamin2022_Modeling,Management,Time to deploy scenario,,,,,,,,,
Yonemura2021,Learning Outcome,self-assessment of the trainees (how familiar are you with),,,,,,,,,
Yonemura2022_KOSEN2,Learning Outcome,pre/post self-assessment of trainees and faculty members in different knowledge categories,,,,,,,,,
